phase,priority,system,workload,distribution,threads,extra,figure,estimated_minutes
A,1,dex,read-only,zipfian,2,,fig6,2
A,1,dex,read-only,zipfian,14,,fig6,2
A,1,dex,read-only,zipfian,28,,fig6,2
A,1,dex,read-only,zipfian,56,,fig6,3
A,1,dex,read-only,zipfian,84,,fig6,3
A,1,dex,read-only,zipfian,84,,fig6,3
A,1,dex,read-intensive,zipfian,2,,fig6,2
A,1,dex,read-intensive,zipfian,14,,fig6,2
A,1,dex,read-intensive,zipfian,28,,fig6,2
A,1,dex,read-intensive,zipfian,56,,fig6,3
A,1,dex,read-intensive,zipfian,84,,fig6,3
A,1,dex,read-intensive,zipfian,84,,fig6,3
A,1,dex,write-intensive,zipfian,2,,fig6,2
A,1,dex,write-intensive,zipfian,14,,fig6,2
A,1,dex,write-intensive,zipfian,28,,fig6,3
A,1,dex,write-intensive,zipfian,56,,fig6,3
A,1,dex,write-intensive,zipfian,84,,fig6,4
A,1,dex,write-intensive,zipfian,84,,fig6,4
A,1,dex,insert-intensive,zipfian,2,,fig6,2
A,1,dex,insert-intensive,zipfian,14,,fig6,2
A,1,dex,insert-intensive,zipfian,28,,fig6,3
A,1,dex,insert-intensive,zipfian,56,,fig6,3
A,1,dex,insert-intensive,zipfian,84,,fig6,4
A,1,dex,insert-intensive,zipfian,84,,fig6,4
A,1,dex,scan-intensive,zipfian,2,,fig6,3
A,1,dex,scan-intensive,zipfian,14,,fig6,3
A,1,dex,scan-intensive,zipfian,28,,fig6,4
A,1,dex,scan-intensive,zipfian,56,,fig6,5
A,1,dex,scan-intensive,zipfian,84,,fig6,5
A,1,dex,scan-intensive,zipfian,84,,fig6,5
A,1,dex,read-only,uniform,2,,fig7,2
A,1,dex,read-only,uniform,14,,fig7,2
A,1,dex,read-only,uniform,28,,fig7,2
A,1,dex,read-only,uniform,56,,fig7,3
A,1,dex,read-only,uniform,84,,fig7,3
A,1,dex,read-only,uniform,84,,fig7,3
A,1,dex,read-intensive,uniform,2,,fig7,2
A,1,dex,read-intensive,uniform,14,,fig7,2
A,1,dex,read-intensive,uniform,28,,fig7,2
A,1,dex,read-intensive,uniform,56,,fig7,3
A,1,dex,read-intensive,uniform,84,,fig7,3
A,1,dex,read-intensive,uniform,84,,fig7,3
A,1,dex,write-intensive,uniform,2,,fig7,2
A,1,dex,write-intensive,uniform,14,,fig7,2
A,1,dex,write-intensive,uniform,28,,fig7,3
A,1,dex,write-intensive,uniform,56,,fig7,3
A,1,dex,write-intensive,uniform,84,,fig7,4
A,1,dex,write-intensive,uniform,84,,fig7,4
A,1,dex,insert-intensive,uniform,2,,fig7,2
A,1,dex,insert-intensive,uniform,14,,fig7,2
A,1,dex,insert-intensive,uniform,28,,fig7,3
A,1,dex,insert-intensive,uniform,56,,fig7,3
A,1,dex,insert-intensive,uniform,84,,fig7,4
A,1,dex,insert-intensive,uniform,84,,fig7,4
A,1,dex,scan-intensive,uniform,2,,fig7,3
A,1,dex,scan-intensive,uniform,14,,fig7,3
A,1,dex,scan-intensive,uniform,28,,fig7,4
A,1,dex,scan-intensive,uniform,56,,fig7,5
A,1,dex,scan-intensive,uniform,84,,fig7,5
A,1,dex,scan-intensive,uniform,84,,fig7,5
B,2,sherman,read-only,zipfian,84,,fig6,3
B,2,sherman,read-intensive,zipfian,84,,fig6,3
B,2,sherman,write-intensive,zipfian,84,,fig6,4
B,2,sherman,insert-intensive,zipfian,84,,fig6,4
B,2,sherman,scan-intensive,zipfian,84,,fig6,5
B,2,smart,read-only,zipfian,84,,fig6,3
B,2,smart,read-intensive,zipfian,84,,fig6,3
B,2,smart,write-intensive,zipfian,84,,fig6,4
B,2,smart,insert-intensive,zipfian,84,,fig6,4
B,2,smart,scan-intensive,zipfian,84,,fig6,5
C,3,dex-onesided,write-intensive,zipfian,84,ablation,fig8,4
C,3,dex-partitioning,write-intensive,zipfian,84,ablation,fig8,4
C,3,dex-cache,write-intensive,zipfian,84,ablation,fig8,4
C,3,dex-full,write-intensive,zipfian,84,ablation,fig8,4
D,4,dex-baseline-cache,read-intensive,zipfian,84,cache64mb_bulk200m,fig9,3
D,4,dex-baseline-cache,read-intensive,zipfian,84,cache256mb_bulk200m,fig9,3
D,4,dex-cooling-map,read-intensive,zipfian,84,cache64mb_bulk200m,fig9,3
D,4,dex-cooling-map,read-intensive,zipfian,84,cache256mb_bulk200m,fig9,3
D,4,dex-leaf-admission,read-intensive,zipfian,84,cache64mb_bulk200m,fig9,3
D,4,dex-leaf-admission,read-intensive,zipfian,84,cache256mb_bulk200m,fig9,3
D,4,dex,read-intensive,zipfian,84,cachepct1_bulk200m,fig11,3
D,4,dex,write-intensive,zipfian,84,cachepct1_bulk200m,fig11,3
D,4,dex,read-intensive,zipfian,84,cachepct2_bulk200m,fig11,3
D,4,dex,write-intensive,zipfian,84,cachepct2_bulk200m,fig11,3
D,4,dex,read-intensive,zipfian,84,cachepct4_bulk200m,fig11,3
D,4,dex,write-intensive,zipfian,84,cachepct4_bulk200m,fig11,3
D,4,dex,read-intensive,zipfian,84,cachepct8_bulk200m,fig11,4
D,4,dex,write-intensive,zipfian,84,cachepct8_bulk200m,fig11,4
D,4,dex,read-intensive,zipfian,84,cachepct16_bulk200m,fig11,4
D,4,dex,write-intensive,zipfian,84,cachepct16_bulk200m,fig11,4
D,4,dex,read-intensive,zipfian,84,cachepct32_bulk200m,fig11,4
D,4,dex,write-intensive,zipfian,84,cachepct32_bulk200m,fig11,4
D,4,dex,read-intensive,zipfian,84,cachepct64_bulk200m,fig11,5
D,4,dex,write-intensive,zipfian,84,cachepct64_bulk200m,fig11,5
E,5,dex,write-intensive,zipfian,84,repart_cache256mb,fig10,6
E,5,dex,write-intensive,zipfian,84,repart_cache512mb,fig10,6
E,5,dex,write-intensive,zipfian,84,repart_cache1024mb,fig10,6
